PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 910 900 901 902 903 904 905 906 907 
2.08311E-06 4.82934E-07 1.30977E-01 2.08310E-06 4.82934E-07 1.87101E-06 4.65107E-07 1.30977E-01 2.43922E-06 4.95053E-07 1.30977E-01 
2.05949E-06 4.47366E-07 1.13393E-01 2.05947E-06 4.47365E-07 1.85162E-06 4.31747E-07 1.13393E-01 2.43439E-06 4.70095E-07 1.13393E-01 
2.07595E-06 4.29599E-07 9.70112E-02 2.07593E-06 4.29598E-07 1.86497E-06 4.12029E-07 9.70112E-02 2.47227E-06 4.61682E-07 9.70112E-02 
2.14948E-06 4.31768E-07 8.19355E-02 2.14946E-06 4.31766E-07 1.92207E-06 4.07421E-07 8.19355E-02 2.56628E-06 4.71528E-07 8.19355E-02 
2.26947E-06 4.48323E-07 6.82459E-02 2.26944E-06 4.48320E-07 2.01964E-06 4.15748E-07 6.82459E-02 2.71416E-06 4.97575E-07 6.82459E-02 
2.44339E-06 4.80933E-07 5.59941E-02 2.44336E-06 4.80929E-07 2.16420E-06 4.38478E-07 5.59941E-02 2.92467E-06 5.41763E-07 5.59941E-02 
2.67956E-06 5.31240E-07 4.51987E-02 2.67952E-06 5.31234E-07 2.36293E-06 4.77049E-07 4.51987E-02 3.20759E-06 6.06020E-07 4.51987E-02 
2.91082E-06 5.83314E-07 3.78378E-02 2.91076E-06 5.83304E-07 2.55894E-06 5.18638E-07 3.78378E-02 3.48305E-06 6.70699E-07 3.78378E-02 
2.98719E-06 6.00821E-07 3.58463E-02 2.98713E-06 6.00810E-07 2.62387E-06 5.32834E-07 3.58463E-02 3.57380E-06 6.92213E-07 3.58463E-02 
3.41084E-06 6.99131E-07 2.73257E-02 3.41075E-06 6.99114E-07 2.98526E-06 6.13741E-07 2.73257E-02 4.07603E-06 8.11759E-07 2.73257E-02 
